iter	Passed	Remaining
808	83472	122887
809	83571	122777
810	83674	122673
811	83773	122565
812	83874	122458
813	83976	122353
814	84101	122283
815	84199	122171
816	84301	122067
817	84403	121962
818	84502	121852
819	84603	121747
820	84702	121637
821	84815	121548
822	84912	121435
823	85006	121319
824	85099	121202
825	85194	121087
826	85287	120970
827	85380	120852
828	85478	120742
829	85573	120627
830	85668	120512
831	85768	120406
832	85880	120315
833	85983	120212
834	86085	120107
835	86185	120000
836	86289	119898
837	86390	119792
838	86490	119684
839	86589	119576
840	86691	119471
841	86792	119364
842	86893	119259
843	86994	119153
844	87094	119046
845	87196	118942
846	87289	118824
847	87382	118708
848	87478	118595
849	87576	118485
850	87672	118373
851	87772	118266
852	87874	118161
853	87986	118071
854	88086	117964
855	88187	117858
856	88284	117747
857	88393	117651
858	88490	117541
859	88585	117427
860	88677	117310
861	88771	117194
862	88872	117088
863	88965	116973
864	89062	116862
865	89157	116748
866	89257	116642
867	89360	116539
868	89458	116429
869	89562	116327
870	89663	116222
871	89763	116116
872	89863	116009
873	89960	115899
874	90062	115794
875	90161	115687
876	90257	115574
877	90351	115460
878	90446	115347
879	90544	115238
880	90646	115134
881	90758	115043
882	90860	114939
883	90962	114835
884	91063	114729
885	91164	114624
886	91264	114518
887	91380	114431
888	91480	114324
889	91581	114219
890	91680	114112
891	91779	114004
892	91882	113901
893	91983	113796
894	92084	113690
895	92184	113584
896	92282	113475
897	92387	113375
898	92487	113268
899	92581	113155
900	92685	113053
901	92780	112941
902	92880	112834
903	92979	112726
904	93080	112621
905	93180	112515
906	93280	112409
907	93383	112306
908	93510	112232
909	93609	112125
910	93709	112019
911	93823	111929
912	93924	111825
913	94025	111720
914	94127	111615
915	94238	111522
916	94338	111416
917	94439	111310
918	94551	111218
919	94651	111112
920	94752	111008
921	94852	110901
922	94954	110797
923	95054	110691
924	95156	110587
925	95258	110483
926	95358	110376
927	95459	110272
928	95559	110166
929	95658	110058
930	95760	109954
931	95861	109849
932	95962	109744
933	96077	109656
934	96180	109553
935	96280	109446
936	96380	109340
937	96483	109237
938	96583	109132
939	96699	109044
940	96804	108943
941	96903	108835
942	97005	108732
943	97120	108643
944	97219	108536
945	97318	108428
946	97418	108323
947	97519	108218
948	97615	108107
949	97716	108002
950	97827	107908
951	97929	107804
952	98032	107701
953	98133	107596
954	98241	107499
955	98340	107393
956	98446	107292
957	98546	107187
958	98647	107082
959	98748	106977
960	98850	106874
961	98954	106771
962	99055	106667
963	99157	106563
964	99259	106459
965	99360	106354
966	99460	106248
967	99562	106145
968	99660	106036
969	99774	105945
970	99876	105841
971	99979	105739
